scene,mode,t,feature,q,x,width,true_measure
collective_growth,NoTime,3,1,38.1,38.09998732175688,5.279999999999999,88
collective_growth,NoTime,3,2,60.99999999999999,61.00001012010307,5.9399999999999995,99
collective_growth,NoTime,4,0,19.900000000000002,19.9000023211295,5.279999999999999,88
collective_growth,NoTime,4,1,38.0,37.999987461657646,5.46,91
collective_growth,NoTime,4,2,61.5,61.50001021721285,6.12,102
collective_growth,NoTime,5,0,19.5,19.500002182835,5.3999999999999995,90
collective_growth,NoTime,5,1,38.0,37.999987542884696,5.58,93
collective_growth,NoTime,5,2,62.09999999999999,62.10001027428029,6.24,104
collective_growth,NoTime,6,0,18.9,18.90000075485578,5.52,92
collective_growth,NoTime,6,1,37.9,37.899988168048424,5.76,96
collective_growth,NoTime,6,2,62.7,62.7000110770958,6.4799999999999995,108
collective_growth,NoTime,7,0,18.4,18.400001892897365,5.7,95
collective_growth,NoTime,7,1,37.9,37.89998771120726,5.88,98
collective_growth,NoTime,7,2,63.2,63.200010395895376,6.54,109
collective_growth,NoTime,8,0,17.8,17.8000007117477,5.819999999999999,97
collective_growth,NoTime,8,1,37.800000000000004,37.7999881259487,6.06,101
collective_growth,NoTime,8,2,63.800000000000004,63.800011162303605,6.779999999999999,113
collective_growth,NoTime,9,0,17.3,17.300002112276324,6.0,100
collective_growth,NoTime,9,1,37.800000000000004,37.79998657341379,6.18,103
collective_growth,NoTime,9,2,64.4,64.4000113143099,6.8999999999999995,115
collective_growth,NoTime,10,0,16.7,16.700000792478754,6.12,102
collective_growth,NoTime,10,1,37.699999999999996,37.69998712711769,6.359999999999999,106
collective_growth,NoTime,10,2,65.0,65.00001208040355,7.14,119
translation_growth,Full,0,0,22.099999999999998,22.100002486210563,4.68,78
translation_growth,Full,0,1,38.199999999999996,38.1999883734349,4.859999999999999,81
translation_growth,Full,0,2,59.199999999999996,59.20000914035453,5.46,91
translation_growth,Full,1,0,22.599999999999994,22.600000355172934,4.859999999999999,81
translation_growth,Full,1,1,39.199999999999996,39.19999833906213,4.9799999999999995,83
translation_growth,Full,1,2,60.80000000000002,60.80000130576495,5.58,93
translation_growth,Full,2,0,23.0,23.000000050738993,4.9799999999999995,83
translation_growth,Full,2,1,40.1,40.099999762723165,5.16,86
translation_growth,Full,2,2,62.4,62.400000186537845,5.819999999999999,97
translation_growth,Full,3,0,23.6,23.600000007248433,5.1,85
translation_growth,Full,3,1,41.1,41.09999996610331,5.279999999999999,88
translation_growth,Full,3,2,64.0,64.00000002664827,5.9399999999999995,99
translation_growth,Full,4,0,24.0,24.000000001035488,5.22,87
translation_growth,Full,4,1,42.0,41.999999995157616,5.46,91
translation_growth,Full,4,2,65.5,65.50000000380689,6.12,102
translation_growth,Full,5,0,24.5,24.500000000147924,5.3999999999999995,90
translation_growth,Full,5,1,43.0,42.99999999930823,5.58,93
translation_growth,Full,5,2,67.1,67.10000000054384,6.24,104
translation_growth,Full,6,0,24.900000000000002,24.899931462106178,5.52,92
translation_growth,Full,6,1,43.9,43.89992337088539,5.76,96
translation_growth,Full,6,2,68.69999999999999,68.69991962746593,6.4799999999999995,108
translation_growth,Full,7,0,25.4,25.399930608322794,5.7,95
translation_growth,Full,7,1,44.9,44.89993015369877,5.88,98
translation_growth,Full,7,2,70.2,70.19992961895396,6.54,109
translation_growth,Full,8,0,25.8,25.7999301957534,5.819999999999999,97
