scale,crowding,extra_budget,t,tau,budget,reference_max,projection_distortion,geometry_lower_bound,distance_nrmse,global_gap_bound
0.3,0.9,4.0,6,4.586620774077986,8.586620774077986,8.586620774077986,0.9146107110746502,0.601952692495131,0.6716036917827056,1.944407495102496e-05
0.3,0.9,4.0,7,4.723247466216208,8.723247466216208,8.723247466216208,0.9184956671259872,0.6011015325915148,0.671577052759535,1.9450257923381287e-05
0.3,0.9,4.0,8,4.789322431267479,8.789322431267479,8.789322431267479,0.9203440743638651,0.6008686236262625,0.6719365370888991,1.9636524712041137e-05
0.3,0.9,4.0,9,4.833071157094594,8.833071157094594,8.833071157094594,0.9222252619690705,0.600522321494521,0.6719686202193604,1.8832417708836147e-05
0.3,0.9,4.0,10,5.031823837485376,9.031823837485376,9.031823837485376,0.9265666580955992,0.5977223464687198,0.6704220120688199,1.9303545514048892e-05
0.3,0.9,4.0,11,5.0805101799242465,9.080510179924246,9.080510179924246,0.9278510268471196,0.5979679296501396,0.6708659870773671,1.9060146769334096e-05
0.3,0.9,4.0,12,5.125876108303842,9.125876108303842,9.125876108303842,0.9289693536839092,0.5966298593092805,0.6699203105240217,1.904332953017729e-05
0.3,0.9,4.0,13,5.004101562500011,9.004101562500011,9.004101562500011,0.9272567377609753,0.6006583508601508,0.6730620390225681,1.9668530740091228e-05
0.3,0.9,4.0,14,4.9532310953993175,8.953231095399317,8.953231095399317,0.924862974226275,0.599486456227238,0.671604055974561,1.915627854032209e-05
0.3,0.9,4.0,15,5.17929067460318,9.17929067460318,9.17929067460318,0.9305348189407395,0.5963390060560795,0.6700513607517183,1.929052723426139e-05
0.3,0.9,4.0,16,5.344541386385416,9.344541386385416,9.344541386385416,0.935678249401882,0.5957078057624422,0.6705176563326648,1.954979325091699e-05
0.3,0.9,4.0,17,5.509579057497675,9.509579057497675,9.509579057497675,0.9412444806467033,0.5965921910687132,0.672215112677775,1.9224651623517275e-05
