scene,method,readout,position_2d_nrmse,position_2d_nmae,reference_x_nmae,reference_y_nmae,reference_x_p95,reference_y_p95,motion_2d_nmae,motion_magnitude_2d_nmae,trajectory_2d_nmae,direction_error_radians,direction_count,direction_zero_predictions,matched_steps,minimum_motion
advection_diffusion_seed2,X-only RA-MTM,initial_y_oracle,0.05387981287380173,0.04725726752154586,0.06485910876500163,0.010075684591398225,0.10953401119693953,0.01957960541200383,0.0008373018597509021,0.00026758014262802144,0.007528429695946829,0.3264600315930671,80,0,80,0.12
advection_diffusion_seed2,Dual-Reference RA-MTM,dual_native,0.0669813921285917,0.06072333776133895,0.06485910876500163,0.05449799708580428,0.10953401119693953,0.07036280921081851,0.0004486106745170535,0.0002454114610892455,0.000725316796280508,0.15447790218385307,80,0,80,0.12
advection_diffusion_seed3,TMTM,initial_y_oracle,0.17354499695420733,0.15602244103171517,0.2202710171485863,0.009989350500772796,0.4088904290798452,0.018910810768625396,0.0022732094769195585,0.001777652974293023,0.02345184833112303,1.384653142564632,80,6,80,0.12
advection_diffusion_seed3,ST-MTM,initial_y_oracle,0.09010023422835242,0.08057479216675,0.11263218534345382,0.009989350500772796,0.17653457508430856,0.018910810768625396,0.0024295289103293976,0.002090675113627409,0.025491716700383728,2.326131115402395,80,41,80,0.12
advection_diffusion_seed3,X-only RA-MTM,initial_y_oracle,0.058790214273327375,0.050807494342952265,0.07006433995640594,0.009989350500772796,0.12046784753457143,0.018910810768625396,0.0008474599641342343,0.0003368976468764563,0.007501171476070954,0.3146996925743478,80,0,80,0.12
advection_diffusion_seed3,Dual-Reference RA-MTM,dual_native,0.07155340448344326,0.06461988951281672,0.07006433995640594,0.05606060066922549,0.12046784753457143,0.0721411236136872,0.0004956222027706675,0.0002971342943455077,0.0009739285822738541,0.13893163996321248,80,0,80,0.12
translation_growth_grid49,TMTM,initial_y_oracle,0.1059618092234383,0.09976809001332347,0.1398081567405049,0.016176394199161063,0.22477782571852187,0.04407431228140975,0.003600622874319446,0.0026546531980133977,0.035304358529432804,1.4535718360413452,59,5,60,0.12
translation_growth_grid49,ST-MTM,initial_y_oracle,0.059049146958976964,0.05372220165720563,0.06977738379061929,0.016176394199161063,0.1378057077826191,0.04407431228140975,0.003882425380275924,0.0025202269839668546,0.03902143350919131,1.5451176073748023,59,5,60,0.12
translation_growth_grid49,X-only RA-MTM,initial_y_oracle,0.01616392630682782,0.0137838332211509,0.00832729389113082,0.016176394199161063,0.008516347127807217,0.04407431228140975,0.0013723648345026853,0.00044431997235973346,0.012016738030802644,0.4864891523404382,59,1,60,0.12
translation_growth_grid49,Dual-Reference RA-MTM,dual_native,0.008455139770205948,0.008451269376272023,0.00832729389113082,0.008567054691977697,0.008516347127807217,0.009686310202309176,0.0002086493308552131,0.00012200125695740251,0.00028744474765020675,0.04853404625591666,59,0,60,0.12
