t,order,kkt,relaxed_kkt,raw_sse,relaxed_sns_bound
23,"(2, 1, 0, 3, 4, 5, 6)",2.858796928134754e-16,8.167991223242154e-16,10300.53814341259,0.11783175609414115
23,"(2, 1, 0, 3, 4, 6, 5)",3.0890566571670243e-16,1.7652315693885899e-16,9480.468635146237,0.10845065162350025
23,"(2, 1, 0, 3, 5, 6, 4)",6.431441125337508e-16,1.7969580691132737e-15,12156.570067749593,0.1390636507171454
23,"(2, 1, 0, 3, 6, 5, 4)",1.4702384201835877e-15,1.8786379813456954e-15,12379.132873434512,0.141609636039564
23,"(3, 0, 1, 2, 4, 5, 6)",5.717593856269508e-16,6.534392978593723e-16,20928.833093102785,0.23941332742643046
23,"(3, 0, 1, 2, 4, 6, 5)",1.8786379813456954e-15,7.351192100917939e-16,20108.763584836426,0.2300322229557895
23,"(3, 0, 1, 2, 5, 6, 4)",6.534392978593723e-16,1.3068785957187447e-15,22784.865017439784,0.2606452220494347
23,"(3, 0, 1, 2, 6, 5, 4)",2.450397366972646e-16,8.242941025011201e-16,23007.4278231247,0.26319120737185336
23,"(3, 1, 0, 2, 4, 5, 6)",3.2671964892968617e-16,2.1236777180429598e-15,20156.446702816607,0.23057768929339736
23,"(3, 1, 0, 2, 4, 6, 5)",4.900794733945292e-16,4.492395172783184e-16,19336.377194550252,0.22119658482275645
23,"(3, 1, 0, 2, 5, 6, 4)",9.801589467890584e-16,1.2251986834863232e-15,22012.478627153603,0.25180958391640157
23,"(3, 1, 0, 2, 6, 5, 4)",1.6744382007646415e-15,1.2251986834863232e-15,22235.041432838516,0.25435556923882024
23,"(3, 2, 0, 1, 4, 5, 6)",4.900794733945292e-16,7.268019930354824e-16,21290.913077020195,0.24355530578511617
23,"(3, 2, 0, 1, 4, 6, 5)",5.717593856269508e-16,4.900794733945292e-16,20470.84356875384,0.23417420131447517
23,"(3, 2, 0, 1, 5, 6, 4)",1.3068785957187447e-15,8.095528828946978e-16,23146.94500135719,0.2647872004081204
23,"(3, 2, 0, 1, 6, 5, 4)",3.2671964892968617e-16,5.717593856269508e-16,23369.50780704211,0.267333185730539
23,"(3, 2, 1, 0, 4, 5, 6)",1.3885585079511662e-15,2.2053576302753815e-15,22131.424180373528,0.2531702498719414
23,"(3, 2, 1, 0, 4, 6, 5)",2.1236777180429598e-15,5.094698067712459e-16,21311.35467210717,0.24378914540130045
23,"(3, 2, 1, 0, 5, 6, 4)",4.083995611621077e-16,1.6335982446484308e-15,23987.456104710527,0.2744021444949456
23,"(3, 2, 1, 0, 6, 5, 4)",3.2671964892968617e-16,1.1435187712539016e-15,24210.018910395447,0.2769481298173642
23,"(4, 5, 6, 0, 1, 2, 3)",1.1026788151376908e-15,5.309194295107399e-16,24210.018910395444,0.2769481298173643
23,"(4, 5, 6, 1, 0, 2, 3)",1.2251986834863232e-15,7.351192100917939e-16,23369.50780704211,0.267333185730539
23,"(4, 5, 6, 2, 0, 1, 3)",1.9603178935781167e-15,4.083995611621077e-16,22235.04143283852,0.2543555692388202
23,"(4, 5, 6, 2, 1, 0, 3)",4.083995611621077e-16,7.065378021438169e-16,23007.4278231247,0.2631912073718533
23,"(4, 5, 6, 3, 0, 1, 2)",7.351192100917939e-16,6.534392978593723e-16,12379.132873434508,0.141609636039564
23,"(4, 5, 6, 3, 1, 0, 2)",2.735886548605728e-16,1.0618388590214799e-15,9923.097317260615,0.11351429563861265
23,"(4, 5, 6, 3, 2, 0, 1)",2.0419978058105385e-15,1.2444600083376428e-15,13139.996479203846,0.15031369715947138
23,"(4, 5, 6, 3, 2, 1, 0)",8.984790345566368e-16,2.2053576302753815e-15,12327.462595642304,0.14101879572637152
23,"(4, 6, 5, 0, 1, 2, 3)",3.348876401529283e-15,1.7152781568808523e-15,23987.456104710527,0.2744021444949457
23,"(4, 6, 5, 1, 0, 2, 3)",8.167991223242154e-16,6.534392978593723e-16,23146.94500135719,0.2647872004081204
23,"(4, 6, 5, 2, 0, 1, 3)",1.0618388590214799e-15,1.0618388590214799e-15,22012.478627153603,0.2518095839164017
23,"(4, 6, 5, 2, 1, 0, 3)",1.0618388590214799e-15,1.2251986834863232e-15,22784.865017439784,0.26064522204943474
23,"(4, 6, 5, 3, 0, 1, 2)",1.5519183324160093e-15,1.3885585079511662e-15,12156.57006774959,0.1390636507171454
23,"(4, 6, 5, 3, 1, 0, 2)",1.3477185518349554e-15,6.655839080903449e-16,9700.534511575697,0.11096831031619407
23,"(4, 6, 5, 3, 2, 0, 1)",8.167991223242154e-16,1.1200140075038785e-15,12917.433673518928,0.14776771183705278
23,"(4, 6, 5, 3, 2, 1, 0)",8.984790345566368e-16,9.126040061142703e-16,12104.899789957386,0.13847281040395296
23,"(5, 6, 4, 0, 1, 2, 3)",6.186259461510734e-16,4.900794733945292e-16,21311.354672107173,0.24378914540130045
23,"(5, 6, 4, 1, 0, 2, 3)",5.717593856269508e-16,6.952019063817647e-16,20470.84356875384,0.23417420131447522
23,"(5, 6, 4, 2, 0, 1, 3)",1.2251986834863232e-15,6.750696996325462e-16,19336.377194550252,0.2211965848227565
23,"(5, 6, 4, 2, 1, 0, 3)",5.717593856269508e-16,6.4438471328561215e-16,20108.76358483643,0.23003222295578957
23,"(5, 6, 4, 3, 0, 1, 2)",1.2251986834863232e-15,1.3885585079511662e-15,9480.468635146237,0.10845065162350022
23,"(5, 6, 4, 3, 1, 0, 2)",6.534392978593723e-16,1.4293984640673769e-15,7024.433078972341,0.08035531122254888
23,"(5, 6, 4, 3, 2, 0, 1)",8.984790345566368e-16,4.900794733945292e-16,10241.332240915572,0.1171547127434076
23,"(5, 6, 4, 3, 2, 1, 0)",1.1435187712539016e-15,1.0209989029052692e-15,9428.798357354033,0.10785981131030777
23,"(6, 5, 4, 0, 1, 2, 3)",6.942792539755831e-16,5.822512077385671e-16,22131.42418037352,0.2531702498719414
23,"(6, 5, 4, 1, 0, 2, 3)",5.371855110420284e-16,5.543703885921297e-16,21290.913077020192,0.2435553057851161
23,"(6, 5, 4, 2, 0, 1, 3)",1.42000830832611e-16,7.351192100917939e-16,20156.446702816604,0.2305776892933974
23,"(6, 5, 4, 2, 1, 0, 3)",6.942792539755831e-16,9.393189906728477e-16,20928.83309310278,0.23941332742643054
23,"(6, 5, 4, 3, 0, 1, 2)",8.167991223242154e-16,1.59275828853222e-15,10300.538143412592,0.11783175609414115
23,"(6, 5, 4, 3, 1, 0, 2)",9.801589467890584e-16,8.874452107871272e-16,7844.502587238696,0.08973641569318982
23,"(6, 5, 4, 3, 2, 0, 1)",4.083995611621077e-16,8.576390784404262e-16,11061.40174918193,0.12653581721404852
23,"(6, 5, 4, 3, 2, 1, 0)",7.881401653186288e-16,8.296400055584276e-16,10248.867865620388,0.1172409157809487
24,"(0, 1, 2, 3, 5, 4)",5.11449321933762e-16,3.512607260009664e-16,4328.300856911841,0.0632484750463654
24,"(0, 1, 2, 4, 3, 5)",1.4556634547345533e-15,7.081605996005936e-16,8302.929113900655,0.12132881290672778
24,"(0, 1, 2, 4, 5, 3)",1.1015831549342566e-15,6.294760885338609e-16,8649.999336761051,0.1264004710598037
24,"(0, 1, 2, 5, 3, 4)",1.4556634547345533e-15,3.2080198372716785e-16,5252.5175006555255,0.07675363883851705
24,"(0, 2, 1, 3, 5, 4)",8.655296217340588e-16,1.2910193525318039e-16,8357.510665303522,0.12212621043328033
24,"(0, 2, 1, 4, 3, 5)",3.540802998002968e-16,4.721070664003957e-16,12332.138922292337,0.18020654829364272
24,"(0, 2, 1, 4, 5, 3)",2.3605353320019784e-16,8.655296217340588e-16,12679.209145152736,0.1852782064467186
24,"(0, 2, 1, 5, 3, 4)",1.2589521770677219e-15,1.022898643867524e-15,9281.727309047204,0.13563137422543195
24,"(1, 2, 0, 3, 5, 4)",4.721070664003957e-16,5.507915774671283e-16,11473.528317697983,0.16766005725707536
